
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.8933e-02 | BC: 1.8893e-02 | PDE: 3.9733e+00 | Val: 4.6704e-04 | Test: 5.9557e-02 | LR=1.0e-03 *
Epoch  50/100 | Steps:  50000 | α=1e-05 | Loss: 8.9315e-06 | BC: 7.9612e-06 | PDE: 9.7028e-02 | Val: 5.0444e-06 | Test: 5.3134e-04 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=1e-05 | Loss: 9.2608e-06 | BC: 8.3440e-06 | PDE: 9.1679e-02 | Val: 4.5166e-06 | Test: 5.0513e-04 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=1e-05 | Loss: 7.5613e-06 | BC: 6.7079e-06 | PDE: 8.5331e-02 | Val: 3.4788e-06 | Test: 5.5088e-04 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=1e-05 | Loss: 7.8460e-06 | BC: 7.0455e-06 | PDE: 8.0044e-02 | Val: 9.8722e-07 | Test: 5.3442e-04 | LR=4.7e-04 *
Epoch  54/100 | Steps:  54000 | α=1e-05 | Loss: 7.7576e-06 | BC: 7.0019e-06 | PDE: 7.5573e-02 | Val: 8.2290e-06 | Test: 5.0617e-04 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e-05 | Loss: 7.9431e-06 | BC: 7.2183e-06 | PDE: 7.2484e-02 | Val: 4.6300e-06 | Test: 5.1016e-04 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=1e-05 | Loss: 5.2862e-06 | BC: 4.6239e-06 | PDE: 6.6227e-02 | Val: 2.9579e-06 | Test: 5.3338e-04 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e-05 | Loss: 5.9653e-06 | BC: 5.3388e-06 | PDE: 6.2649e-02 | Val: 2.6976e-06 | Test: 5.4064e-04 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=1e-05 | Loss: 5.5531e-06 | BC: 4.9586e-06 | PDE: 5.9448e-02 | Val: 5.8851e-06 | Test: 5.5289e-04 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e-05 | Loss: 5.1820e-06 | BC: 4.6139e-06 | PDE: 5.6816e-02 | Val: 2.8098e-06 | Test: 5.4444e-04 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | α=1e-05 | Loss: 4.5885e-06 | BC: 4.0564e-06 | PDE: 5.3210e-02 | Val: 1.1222e-06 | Test: 5.5120e-04 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=1e-05 | Loss: 5.2166e-06 | BC: 4.7056e-06 | PDE: 5.1093e-02 | Val: 1.7230e-06 | Test: 5.3670e-04 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=1e-05 | Loss: 3.5715e-06 | BC: 3.0932e-06 | PDE: 4.7837e-02 | Val: 1.3619e-06 | Test: 5.4270e-04 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=1e-05 | Loss: 4.1096e-06 | BC: 3.6506e-06 | PDE: 4.5902e-02 | Val: 1.0110e-06 | Test: 5.5958e-04 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=1e-05 | Loss: 3.9436e-06 | BC: 3.5082e-06 | PDE: 4.3543e-02 | Val: 7.7911e-07 | Test: 5.4142e-04 | LR=3.1e-04 *
Epoch  65/100 | Steps:  65000 | α=1e-05 | Loss: 2.9463e-06 | BC: 2.5287e-06 | PDE: 4.1763e-02 | Val: 4.8077e-06 | Test: 5.4504e-04 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | α=1e-05 | Loss: 2.6478e-06 | BC: 2.2535e-06 | PDE: 3.9422e-02 | Val: 6.7750e-07 | Test: 5.6631e-04 | LR=2.8e-04 *
Epoch  67/100 | Steps:  67000 | α=1e-05 | Loss: 2.7588e-06 | BC: 2.3776e-06 | PDE: 3.8125e-02 | Val: 6.7829e-07 | Test: 5.7707e-04 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=1e-05 | Loss: 2.6079e-06 | BC: 2.2461e-06 | PDE: 3.6175e-02 | Val: 1.1544e-06 | Test: 5.6619e-04 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e-05 | Loss: 2.1211e-06 | BC: 1.7737e-06 | PDE: 3.4735e-02 | Val: 1.6738e-06 | Test: 5.8194e-04 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=1e-05 | Loss: 2.1585e-06 | BC: 1.8259e-06 | PDE: 3.3259e-02 | Val: 2.0723e-06 | Test: 5.7153e-04 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | α=1e-05 | Loss: 1.7428e-06 | BC: 1.4225e-06 | PDE: 3.2035e-02 | Val: 2.0819e-06 | Test: 5.7200e-04 | LR=2.1e-04
Epoch  72/100 | Steps:  72000 | α=1e-05 | Loss: 1.8926e-06 | BC: 1.5843e-06 | PDE: 3.0828e-02 | Val: 2.2147e-06 | Test: 5.6249e-04 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=1e-05 | Loss: 1.6913e-06 | BC: 1.3941e-06 | PDE: 2.9724e-02 | Val: 8.2429e-07 | Test: 5.7786e-04 | LR=1.9e-04
Epoch  74/100 | Steps:  74000 | α=1e-05 | Loss: 1.3044e-06 | BC: 1.0151e-06 | PDE: 2.8927e-02 | Val: 1.4125e-06 | Test: 5.8797e-04 | LR=1.8e-04
Epoch  75/100 | Steps:  75000 | α=1e-05 | Loss: 1.3240e-06 | BC: 1.0464e-06 | PDE: 2.7757e-02 | Val: 1.4825e-06 | Test: 5.8427e-04 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | α=1e-05 | Loss: 1.2533e-06 | BC: 9.8293e-07 | PDE: 2.7036e-02 | Val: 1.1820e-06 | Test: 5.8109e-04 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=1e-05 | Loss: 1.1858e-06 | BC: 9.2244e-07 | PDE: 2.6333e-02 | Val: 2.3825e-06 | Test: 5.8523e-04 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=1e-05 | Loss: 9.0390e-07 | BC: 6.4937e-07 | PDE: 2.5453e-02 | Val: 1.3988e-06 | Test: 5.9397e-04 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | α=1e-05 | Loss: 9.2188e-07 | BC: 6.7356e-07 | PDE: 2.4832e-02 | Val: 8.6538e-07 | Test: 5.8241e-04 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | α=1e-05 | Loss: 8.5537e-07 | BC: 6.1308e-07 | PDE: 2.4229e-02 | Val: 4.0042e-07 | Test: 5.8035e-04 | LR=1.1e-04 *
Epoch  81/100 | Steps:  81000 | α=1e-05 | Loss: 7.3763e-07 | BC: 4.9901e-07 | PDE: 2.3862e-02 | Val: 6.0881e-07 | Test: 5.7962e-04 | LR=1.0e-04
Epoch  82/100 | Steps:  82000 | α=1e-05 | Loss: 7.1277e-07 | BC: 4.8220e-07 | PDE: 2.3057e-02 | Val: 7.4446e-07 | Test: 5.8292e-04 | LR=9.6e-05
Epoch  83/100 | Steps:  83000 | α=1e-05 | Loss: 6.4155e-07 | BC: 4.1775e-07 | PDE: 2.2380e-02 | Val: 3.4582e-07 | Test: 5.7282e-04 | LR=8.7e-05 *
Epoch  84/100 | Steps:  84000 | α=1e-05 | Loss: 6.3565e-07 | BC: 4.1862e-07 | PDE: 2.1703e-02 | Val: 5.0630e-07 | Test: 5.8408e-04 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | α=1e-05 | Loss: 5.6852e-07 | BC: 3.5313e-07 | PDE: 2.1539e-02 | Val: 5.7684e-07 | Test: 5.8118e-04 | LR=7.1e-05
Epoch  86/100 | Steps:  86000 | α=1e-05 | Loss: 5.3298e-07 | BC: 3.2002e-07 | PDE: 2.1296e-02 | Val: 2.3447e-07 | Test: 5.8331e-04 | LR=6.4e-05 *
Epoch  87/100 | Steps:  87000 | α=1e-05 | Loss: 4.7877e-07 | BC: 2.7227e-07 | PDE: 2.0650e-02 | Val: 3.0367e-07 | Test: 5.8087e-04 | LR=5.7e-05
Epoch  88/100 | Steps:  88000 | α=1e-05 | Loss: 4.7166e-07 | BC: 2.6915e-07 | PDE: 2.0250e-02 | Val: 3.8925e-07 | Test: 5.7558e-04 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | α=1e-05 | Loss: 4.5713e-07 | BC: 2.5080e-07 | PDE: 2.0633e-02 | Val: 3.0766e-07 | Test: 5.8065e-04 | LR=4.5e-05
Epoch  90/100 | Steps:  90000 | α=1e-05 | Loss: 4.2091e-07 | BC: 2.2109e-07 | PDE: 1.9983e-02 | Val: 2.8864e-07 | Test: 5.7760e-04 | LR=3.9e-05
Epoch  91/100 | Steps:  91000 | α=1e-05 | Loss: 4.0082e-07 | BC: 2.0604e-07 | PDE: 1.9477e-02 | Val: 2.1154e-07 | Test: 5.7661e-04 | LR=3.4e-05 *
Epoch  92/100 | Steps:  92000 | α=1e-05 | Loss: 3.9717e-07 | BC: 2.0255e-07 | PDE: 1.9462e-02 | Val: 2.4203e-07 | Test: 5.7666e-04 | LR=3.0e-05
Epoch  93/100 | Steps:  93000 | α=1e-05 | Loss: 3.7797e-07 | BC: 1.8555e-07 | PDE: 1.9242e-02 | Val: 2.1259e-07 | Test: 5.7587e-04 | LR=2.6e-05
Epoch  94/100 | Steps:  94000 | α=1e-05 | Loss: 3.6047e-07 | BC: 1.6852e-07 | PDE: 1.9195e-02 | Val: 2.0816e-07 | Test: 5.8103e-04 | LR=2.2e-05 *
Epoch  95/100 | Steps:  95000 | α=1e-05 | Loss: 3.5684e-07 | BC: 1.6919e-07 | PDE: 1.8765e-02 | Val: 2.0014e-07 | Test: 5.7579e-04 | LR=1.9e-05 *
Epoch  96/100 | Steps:  96000 | α=1e-05 | Loss: 3.4608e-07 | BC: 1.5744e-07 | PDE: 1.8864e-02 | Val: 2.1043e-07 | Test: 5.7851e-04 | LR=1.6e-05
Epoch  97/100 | Steps:  97000 | α=1e-05 | Loss: 3.3992e-07 | BC: 1.5396e-07 | PDE: 1.8596e-02 | Val: 1.9448e-07 | Test: 5.7604e-04 | LR=1.4e-05 *
Epoch  98/100 | Steps:  98000 | α=1e-05 | Loss: 3.4532e-07 | BC: 1.5579e-07 | PDE: 1.8952e-02 | Val: 2.0248e-07 | Test: 5.7543e-04 | LR=1.2e-05
Epoch  99/100 | Steps:  99000 | α=1e-05 | Loss: 3.3523e-07 | BC: 1.4995e-07 | PDE: 1.8528e-02 | Val: 2.4611e-07 | Test: 5.7805e-04 | LR=1.1e-05
Epoch 100/100 | Steps: 100000 | α=1e-05 | Loss: 3.3200e-07 | BC: 1.4816e-07 | PDE: 1.8384e-02 | Val: 1.8722e-07 | Test: 5.7767e-04 | LR=1.0e-05 *

Restored best model from epoch 100 (val_loss: 1.8722e-07, test_loss: 5.7767e-04)
Best checkpoint saved to: outputs/expr_7_1/absolute/alpha1e-5/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_7_1/absolute/alpha1e-5/checkpoints/final_model.pt
Training completed in 1321.08s (100,000 total steps)

Final Test MSE: 5.7767e-04
Inference (per point): 1.4813e-04s | (full domain): 1.4455e-04s
Saved plot to outputs/expr_7_1/absolute/alpha1e-5/plots/results.png
